Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,Finish,Playoffs,R,RA,BatAge,PitchAge,#Bat,#Pitch,Top Player,Managers
21,1992,Boston Red Sox,AL East,162,73,89,0,.451,7th of 7,,599,669,28.9,31.5,38,16,R.Clemens (8.4),Butch Hobson (73-89)
22,1991,Boston Red Sox,AL East,162,84,78,0,.519,2nd of 7,,731,712,29.1,30.8,39,19,R.Clemens (7.7),Joe Morgan (84-78)
23,1990,Boston Red Sox,AL East,162,88,74,0,.543,1st of 7,Lost ALCS (4-0),699,664,29.1,30.6,43,20,R.Clemens (10.3),Joe Morgan (88-74)
24,1989,Boston Red Sox,AL East,162,83,79,0,.512,3rd of 7,,774,735,29.5,29.5,35,15,W.Boggs (8.3),Joe Morgan (83-79)
25,1988,Boston Red Sox,AL East,162,89,73,0,.549,1st of 7,Lost ALCS (4-0),813,689,28.8,28.7,37,17,W.Boggs (8.2),John McNamara (43-42) and Joe Morgan (46-31)
26,1987,Boston Red Sox,AL East,162,78,84,0,.481,5th of 7,,842,825,28.8,27.1,35,13,R.Clemens (9.1),John McNamara (78-84)
27,1986,Boston Red Sox,AL East,161,95,66,0,.590,1st of 7,Lost WS (4-3),794,696,30.6,28.0,38,16,R.Clemens (8.6),John McNamara (95-66)
28,1985,Boston Red Sox,AL East,163,81,81,1,.500,5th of 7,,800,720,29.4,26.8,36,17,W.Boggs (9.0),John McNamara (81-81)
29,1984,Boston Red Sox,AL East,162,86,76,0,.531,4th of 7,,810,764,29.0,25.8,33,14,W.Boggs (6.1),Ralph Houk (86-76)
30,1983,Boston Red Sox,AL East,162,78,84,0,.481,6th of 7,,724,775,29.1,26.8,31,12,W.Boggs (7.6),Ralph Houk (78-84)
31,1982,Boston Red Sox,AL East,162,89,73,0,.549,3rd of 7,,753,713,28.9,28.2,33,14,D.Evans (6.2),Ralph Houk (89-73)
32,1981,Boston Red Sox,AL East,108,59,49,0,.546,5th of 7,,519,481,29.2,27.9,32,13,D.Evans (6.6),Ralph Houk (59-49)
33,1980,Boston Red Sox,AL East,160,83,77,0,.519,5th of 7,,757,767,29.6,29.5,41,17,F.Lynn (4.5),Don Zimmer (82-73) and Johnny Pesky (1-4)
34,1979,Boston Red Sox,AL East,160,91,69,0,.569,3rd of 7,,841,711,29.0,28.4,34,14,F.Lynn (8.6),Don Zimmer (91-69)
35,1978,Boston Red Sox,AL East,163,99,64,0,.607,2nd of 7,,796,657,28.5,29.2,31,14,J.Rice (7.4),Don Zimmer (99-64)
36,1977,Boston Red Sox,AL East,161,97,64,0,.602,2nd of 7,,859,712,28.7,29.4,38,15,C.Fisk (6.7),Don Zimmer (97-64)
37,1976,Boston Red Sox,AL East,162,83,79,0,.512,3rd of 6,,716,660,27.7,29.5,32,11,L.Tiant (6.0),Darrell Johnson (41-45) and Don Zimmer (42-34)
38,1975,Boston Red Sox,AL East,160,95,65,0,.594,1st of 6,Lost WS (4-3),796,709,26.9,28.8,37,12,F.Lynn (7.1),Darrell Johnson (95-65)
39,1974,Boston Red Sox,AL East,162,84,78,0,.519,3rd of 6,,696,661,27.7,29.2,37,13,L.Tiant (7.4),Darrell Johnson (84-78)
40,1973,Boston Red Sox,AL East,162,89,73,0,.549,2nd of 6,,738,647,29.5,28.3,32,15,B.Lee (5.8),Eddie Kasko (88-73) and Eddie Popowski (1-0)
41,1972,Boston Red Sox,AL East,155,85,70,0,.548,2nd of 6,,640,620,28.9,28.9,38,17,C.Fisk (7.0),Eddie Kasko (85-70)
42,1971,Boston Red Sox,AL East,162,85,77,0,.525,3rd of 6,,691,667,27.9,29.1,36,15,S.Siebert (6.4),Eddie Kasko (85-77)
43,1970,Boston Red Sox,AL East,162,87,75,0,.537,3rd of 6,,786,722,26.5,27.9,40,20,C.Yastrzemski (9.3),Eddie Kasko (87-75)
44,1969,Boston Red Sox,AL East,162,87,75,0,.537,3rd of 6,,743,736,26.1,26.5,40,19,R.Petrocelli (9.5),Dick Williams (82-71) and Eddie Popowski (5-4)
45,1968,Boston Red Sox,AL,162,86,76,0,.531,4th of 10,,614,611,26.4,27.4,36,16,C.Yastrzemski (10.0),Dick Williams (86-76)
46,1967,Boston Red Sox,AL,162,92,70,0
